出发poiid,到达poiid,驾车距离,驾车时间,公交距离,公交时间,步行距离,步行时间
92677,23027762,852,200,NULL,NULL,595,444
92677,20942770,9107,1089,NULL,NULL,6911,5302
92677,58341321,9724,1060,NULL,NULL,7515,5769
92677,23030486,8912,1053,NULL,NULL,6982,5357
92677,23029410,7880,782,NULL,NULL,6849,5245
92677,10568627,3923,626,NULL,NULL,3779,2781
92677,15031548,2483,508,NULL,NULL,1298,998
92677,18106826,21573,1627,NULL,NULL,14724,7277
92677,23028214,8312,2911,NULL,NULL,7856,5646
92677,15031474,20862,1431,NULL,NULL,14825,7326
92677,31690043,5560,664,NULL,NULL,5099,3906
92677,20942775,3869,835,NULL,NULL,3973,3092
92677,90342,3869,835,NULL,NULL,3918,3039
92677,15031484,319,101,NULL,NULL,201,153
92677,96838,2899,652,NULL,NULL,3272,2490
92677,96826,8055,879,NULL,NULL,6350,4861
92677,102824,8626,988,NULL,NULL,6591,5046
102824,23027716,980,321,NULL,NULL,967,747
102824,138394700,4421,836,NULL,NULL,4306,3257
102824,23027762,8861,1024,NULL,NULL,6279,4781
102824,20942770,721,182,NULL,NULL,673,518
102824,58341321,1498,428,NULL,NULL,1101,872
102824,23030486,526,140,NULL,NULL,477,373
102824,23029410,883,263,NULL,NULL,830,658
102824,10568627,13059,1381,NULL,NULL,9552,7234
102824,15031548,7947,1020,NULL,NULL,5580,4254
102824,18106826,18262,1687,NULL,NULL,10927,4489
102824,23028214,17448,3665,NULL,NULL,13639,10100
102824,15031474,17551,1491,NULL,NULL,11028,4538
102824,31690043,1508,465,NULL,NULL,1492,1149
102824,20942775,3764,848,NULL,NULL,3375,2610
102824,90342,3764,848,NULL,NULL,3216,2483
102824,15031484,9096,1083,NULL,NULL,6588,4959
102824,96838,4450,952,NULL,NULL,4264,3198
102824,96826,782,243,NULL,NULL,467,372
102824,92677,8843,1000,NULL,NULL,6591,5059
96826,23027716,805,242,NULL,NULL,630,478
96826,138394700,4750,990,NULL,NULL,4597,3507
96826,23027762,8285,915,NULL,NULL,6038,4584
96826,20942770,1249,359,NULL,NULL,1068,828
96826,58341321,1827,583,NULL,NULL,1329,1030
96826,23030486,1054,317,NULL,NULL,872,681
96826,23029410,827,230,NULL,NULL,565,438
96826,10568627,12483,1272,NULL,NULL,9311,7037
96826,15031548,7371,911,NULL,NULL,5339,4057
96826,18106826,17686,1578,NULL,NULL,10501,4180
96826,23028214,16872,3556,NULL,NULL,13398,9903
96826,15031474,16975,1382,NULL,NULL,10602,4229
96826,31690043,1500,409,NULL,NULL,1251,952
96826,20942775,3744,755,NULL,NULL,3135,2427
96826,90342,3744,755,NULL,NULL,2976,2300
96826,15031484,8520,970,NULL,NULL,6347,4762
96826,96838,4535,857,NULL,NULL,4011,3000
96826,102824,516,174,NULL,NULL,467,362
96826,92677,8267,887,NULL,NULL,6350,4862
96838,23027716,3833,673,NULL,NULL,3523,2661
96838,138394700,16098,1369,NULL,NULL,7901,5983
96838,23027762,2915,651,NULL,NULL,2960,2227
96838,20942770,4882,1000,NULL,NULL,4511,3397
96838,58341321,5767,1228,NULL,NULL,5175,3921
96838,23030486,5166,1047,NULL,NULL,4582,3452
96838,23029410,4948,877,NULL,NULL,4509,3397
96838,10568627,5849,949,NULL,NULL,6233,4680
96838,15031548,2113,448,NULL,NULL,2277,1727
96838,18106826,20933,1783,NULL,NULL,12547,5650
96838,23028214,10238,3234,NULL,NULL,10320,7546
96838,15031474,20222,1587,NULL,NULL,12648,5699
96838,31690043,3060,534,NULL,NULL,2759,2058
96838,20942775,1566,328,NULL,NULL,1441,1111
96838,90342,1566,328,NULL,NULL,1386,1058
96838,15031484,3151,694,NULL,NULL,3281,2433
96838,96826,4557,872,NULL,NULL,4010,3013
96838,102824,4194,992,NULL,NULL,4262,3202
96838,92677,2898,611,NULL,NULL,3272,2505
15031484,23027716,7384,675,NULL,NULL,5848,4414
15031484,138394700,16507,1162,NULL,NULL,10500,7957
15031484,23027762,917,219,NULL,NULL,749,576
15031484,20942770,8876,1038,NULL,NULL,6896,5209
15031484,58341321,9493,1009,NULL,NULL,7500,5676
15031484,23030486,8681,1002,NULL,NULL,6967,5264
15031484,23029410,7649,731,NULL,NULL,6834,5152
15031484,10568627,3988,645,NULL,NULL,3823,2812
15031484,15031548,2462,463,NULL,NULL,1325,1005
15031484,18106826,21342,1576,NULL,NULL,14518,7120
15031484,23028214,8377,2930,NULL,NULL,7900,5677
15031484,15031474,20631,1380,NULL,NULL,14619,7169
15031484,31690043,5329,613,NULL,NULL,5084,3813
15031484,20942775,3848,790,NULL,NULL,3962,2998
15031484,90342,3848,790,NULL,NULL,3907,2945
15031484,96838,2878,599,NULL,NULL,3270,2426
15031484,96826,7824,820,NULL,NULL,6335,4768
15031484,102824,8395,929,NULL,NULL,6576,4953
15031484,92677,319,104,NULL,NULL,201,164
90342,23027716,2933,578,NULL,NULL,2646,2017
90342,138394700,8239,1487,NULL,NULL,6833,5204
90342,23027762,3836,816,NULL,NULL,3606,2716
90342,20942770,4023,879,NULL,NULL,3463,2634
90342,58341321,4908,1108,NULL,NULL,4141,3173
90342,23030486,4307,926,NULL,NULL,3534,2689
90342,23029410,4049,782,NULL,NULL,3475,2649
90342,10568627,6770,1114,NULL,NULL,6879,5169
90342,15031548,2895,568,NULL,NULL,2933,2218
90342,18106826,20039,1859,NULL,NULL,11810,5135
90342,23028214,11159,3399,NULL,NULL,10966,8035
90342,15031474,19328,1663,NULL,NULL,11911,5184
90342,31690043,1998,402,NULL,NULL,1725,1310
90342,20942775,1,0,NULL,NULL,158,127
90342,15031484,4072,869,NULL,NULL,3941,2923
90342,96838,1687,292,NULL,NULL,1387,1000
90342,96826,3498,772,NULL,NULL,2976,2265
90342,102824,3464,806,NULL,NULL,3214,2439
90342,92677,3819,780,NULL,NULL,3918,2994
20942775,23027716,2973,582,NULL,NULL,2804,2134
20942775,138394700,8156,1476,NULL,NULL,6991,5321
20942775,23027762,3876,820,NULL,NULL,3660,2758
20942775,20942770,3940,868,NULL,NULL,3621,2751
20942775,58341321,4825,1097,NULL,NULL,4299,3290
20942775,23030486,4224,915,NULL,NULL,3692,2806
20942775,23029410,4089,786,NULL,NULL,3633,2766
20942775,10568627,6810,1118,NULL,NULL,6933,5211
20942775,15031548,2935,572,NULL,NULL,2987,2260
20942775,18106826,20079,1863,NULL,NULL,11968,5252
20942775,23028214,11199,3403,NULL,NULL,11020,8077
20942775,15031474,19368,1667,NULL,NULL,12069,5301
20942775,31690043,2038,406,NULL,NULL,1883,1427
20942775,90342,114,31,NULL,NULL,157,117
20942775,15031484,4112,873,NULL,NULL,3995,2965
20942775,96838,1604,281,NULL,NULL,1441,1042
20942775,96826,3538,776,NULL,NULL,3134,2382
20942775,102824,3547,834,NULL,NULL,3372,2556
20942775,92677,3859,784,NULL,NULL,3972,3036
31690043,23027716,1055,235,NULL,NULL,921,707
31690043,138394700,6370,1145,NULL,NULL,5467,4190
31690043,23027762,5812,694,NULL,NULL,4787,3630
31690043,20942770,2126,516,NULL,NULL,1812,1394
31690043,58341321,3011,745,NULL,NULL,2416,1861
31690043,23030486,2410,563,NULL,NULL,1883,1449
31690043,23029410,1880,402,NULL,NULL,1750,1337
31690043,10568627,10010,1051,NULL,NULL,8060,6083
31690043,15031548,4898,690,NULL,NULL,4088,3103
31690043,18106826,18551,1540,NULL,NULL,10334,4039
31690043,23028214,14399,3335,NULL,NULL,12147,8949
31690043,15031474,17840,1344,NULL,NULL,10435,4088
31690043,20942775,2055,425,NULL,NULL,1884,1473
31690043,90342,2055,425,NULL,NULL,1725,1346
31690043,15031484,6047,756,NULL,NULL,5096,3808
31690043,96838,3028,510,NULL,NULL,2760,2046
31690043,96826,1500,369,NULL,NULL,1251,953
31690043,102824,1646,426,NULL,NULL,1492,1138
31690043,92677,5794,667,NULL,NULL,5099,3908
15031474,23027716,16601,1428,NULL,NULL,10036,3780
15031474,138394700,25724,1915,NULL,NULL,15190,7700
15031474,23027762,21190,1668,NULL,NULL,14473,7093
15031474,20942770,18093,1791,NULL,NULL,11613,4990
15031474,58341321,18710,1762,NULL,NULL,11728,5081
15031474,23030486,17898,1755,NULL,NULL,11417,4843
15031474,23029410,16866,1484,NULL,NULL,10865,4381
15031474,10568627,25388,2026,NULL,NULL,17754,9545
15031474,15031548,20277,1664,NULL,NULL,13621,6451
15031474,18106826,692,190,NULL,NULL,795,578
15031474,23028214,29777,4310,NULL,NULL,21841,12411
15031474,31690043,17921,1551,NULL,NULL,10441,4077
15031474,20942775,20990,1865,NULL,NULL,12030,5301
15031474,90342,20990,1865,NULL,NULL,11871,5174
15031474,15031484,21425,1730,NULL,NULL,14629,7156
15031474,96838,20281,1694,NULL,NULL,12647,5672
15031474,96826,17041,1582,NULL,NULL,10601,4217
15031474,102824,17612,1689,NULL,NULL,11022,4530
15031474,92677,21172,1641,NULL,NULL,14835,7325
23028214,23027716,16507,3507,NULL,NULL,12912,9121
23028214,138394700,25630,3994,NULL,NULL,17415,12552
23028214,23027762,8115,2872,NULL,NULL,7778,5166
23028214,20942770,17999,3870,NULL,NULL,13960,9914
23028214,58341321,18616,3841,NULL,NULL,14564,10381
23028214,23030486,17804,3834,NULL,NULL,14031,9969
23028214,23029410,16772,3563,NULL,NULL,13898,9857
23028214,10568627,6253,2657,NULL,NULL,5599,3581
23028214,15031548,9966,3119,NULL,NULL,8841,5990
23028214,18106826,30465,4408,NULL,NULL,21742,11940
23028214,15031474,29754,4212,NULL,NULL,21843,11989
23028214,31690043,14451,3445,NULL,NULL,12148,8518
23028214,20942775,11351,3452,NULL,NULL,11022,7704
23028214,90342,11351,3452,NULL,NULL,10967,7651
23028214,15031484,8499,2972,NULL,NULL,7901,5240
23028214,96838,10381,3271,NULL,NULL,10321,7102
23028214,96826,16947,3661,NULL,NULL,13399,9473
23028214,102824,17518,3768,NULL,NULL,13640,9658
23028214,92677,8434,2948,NULL,NULL,7856,5219
18106826,23027716,16398,1331,NULL,NULL,9936,3732
18106826,138394700,25521,1818,NULL,NULL,15090,7652
18106826,23027762,20987,1571,NULL,NULL,14373,7045
18106826,20942770,17890,1694,NULL,NULL,11513,4942
18106826,58341321,18507,1665,NULL,NULL,11628,5033
18106826,23030486,17695,1658,NULL,NULL,11317,4795
18106826,23029410,16663,1387,NULL,NULL,10765,4333
18106826,10568627,25185,1929,NULL,NULL,17654,9497
18106826,15031548,20074,1567,NULL,NULL,13521,6403
18106826,23028214,29574,4213,NULL,NULL,21741,12363
18106826,15031474,534,155,NULL,NULL,795,579
18106826,31690043,17718,1454,NULL,NULL,10341,4029
18106826,20942775,20787,1768,NULL,NULL,11930,5253
18106826,90342,20787,1768,NULL,NULL,11771,5126
18106826,15031484,21222,1633,NULL,NULL,14529,7108
18106826,96838,20078,1597,NULL,NULL,12547,5624
18106826,96826,16838,1485,NULL,NULL,10501,4169
18106826,102824,17409,1592,NULL,NULL,10922,4482
18106826,92677,20969,1544,NULL,NULL,14735,7277
15031548,23027716,7765,761,NULL,NULL,4851,3726
15031548,138394700,16888,1248,NULL,NULL,9503,7269
15031548,23027762,1416,317,NULL,NULL,1246,1002
15031548,20942770,9257,1124,NULL,NULL,5899,4521
15031548,58341321,9874,1095,NULL,NULL,6503,4988
15031548,23030486,9062,1088,NULL,NULL,5970,4576
15031548,23029410,8030,817,NULL,NULL,5837,4464
15031548,10568627,5014,793,NULL,NULL,4763,3580
15031548,18106826,21723,1662,NULL,NULL,13521,6432
15031548,23028214,9403,3078,NULL,NULL,8840,6445
15031548,15031474,21012,1466,NULL,NULL,13622,6481
15031548,31690043,5710,699,NULL,NULL,4087,3125
15031548,20942775,3396,685,NULL,NULL,2965,2310
15031548,90342,3396,685,NULL,NULL,2910,2257
15031548,15031484,1652,371,NULL,NULL,1325,1016
15031548,96838,2426,504,NULL,NULL,2273,1738
15031548,96826,8205,915,NULL,NULL,5338,4080
15031548,102824,8776,1022,NULL,NULL,5579,4265
15031548,92677,1399,282,NULL,NULL,1298,1026
10568627,23027716,11999,1196,NULL,NULL,8824,6689
10568627,138394700,21122,1683,NULL,NULL,13327,10120
10568627,23027762,3607,557,NULL,NULL,3700,2735
10568627,20942770,13491,1559,NULL,NULL,9872,7482
10568627,58341321,14108,1530,NULL,NULL,10476,7949
10568627,23030486,13296,1523,NULL,NULL,9943,7537
10568627,23029410,12264,1252,NULL,NULL,9810,7425
10568627,15031548,5458,804,NULL,NULL,4763,3559
10568627,18106826,25957,2097,NULL,NULL,17654,9508
10568627,23028214,6111,2611,NULL,NULL,5600,4016
10568627,15031474,25246,1901,NULL,NULL,17755,9557
10568627,31690043,9943,1134,NULL,NULL,8060,6086
10568627,20942775,6843,1137,NULL,NULL,6934,5272
10568627,90342,6843,1137,NULL,NULL,6879,5219
10568627,15031484,3991,657,NULL,NULL,3823,2809
10568627,96838,5873,956,NULL,NULL,6233,4670
10568627,96826,12439,1350,NULL,NULL,9311,7041
10568627,102824,13010,1457,NULL,NULL,9552,7226
10568627,92677,3926,633,NULL,NULL,3778,2788
23029410,23027716,1221,383,NULL,NULL,1022,781
23029410,138394700,4404,871,NULL,NULL,4405,3376
23029410,23027762,8228,927,NULL,NULL,6537,4970
23029410,20942770,1308,347,NULL,NULL,1253,975
23029410,58341321,1481,464,NULL,NULL,943,757
23029410,23030486,1113,311,NULL,NULL,1057,828
23029410,10568627,12426,1284,NULL,NULL,9810,7423
23029410,15031548,7314,923,NULL,NULL,5838,4443
23029410,18106826,17629,1590,NULL,NULL,10765,4348
23029410,23028214,16815,3568,NULL,NULL,13897,10289
23029410,15031474,16918,1394,NULL,NULL,10866,4397
23029410,31690043,1953,571,NULL,NULL,1750,1338
23029410,20942775,4073,944,NULL,NULL,3634,2813
23029410,90342,4073,944,NULL,NULL,3475,2686
23029410,15031484,8463,989,NULL,NULL,6846,5148
23029410,96838,4759,1044,NULL,NULL,4510,3386
23029410,96826,512,168,NULL,NULL,565,440
23029410,102824,827,245,NULL,NULL,830,648
23029410,92677,8210,900,NULL,NULL,6849,5248
23030486,23027716,1515,472,NULL,NULL,1396,1080
23030486,138394700,4039,771,NULL,NULL,3941,2976
23030486,23027762,9147,1100,NULL,NULL,6670,5087
23030486,20942770,433,134,NULL,NULL,209,158
23030486,58341321,1116,363,NULL,NULL,1022,788
23030486,23029410,1169,339,NULL,NULL,1057,841
23030486,10568627,13345,1457,NULL,NULL,9943,7540
23030486,15031548,8233,1096,NULL,NULL,5971,4560
23030486,18106826,18548,1763,NULL,NULL,11317,4815
23030486,23028214,17734,3741,NULL,NULL,14030,10406
23030486,15031474,17837,1567,NULL,NULL,11418,4864
23030486,31690043,1932,571,NULL,NULL,1883,1455
23030486,20942775,4483,917,NULL,NULL,3693,2856
23030486,90342,4483,917,NULL,NULL,3534,2729
23030486,15031484,9382,1162,NULL,NULL,6979,5265
23030486,96838,5169,1017,NULL,NULL,4582,3444
23030486,96826,1068,317,NULL,NULL,872,688
23030486,102824,526,144,NULL,NULL,477,373
23030486,92677,9129,1073,NULL,NULL,6982,5365
58341321,23027716,2464,661,NULL,NULL,1870,1448
58341321,138394700,3389,626,NULL,NULL,3389,2576
58341321,23027762,9810,1051,NULL,NULL,7225,5521
58341321,20942770,1790,487,NULL,NULL,1150,874
58341321,23030486,1289,398,NULL,NULL,1022,785
58341321,23029410,1595,471,NULL,NULL,943,765
58341321,10568627,14008,1408,NULL,NULL,10498,7974
58341321,15031548,8896,1047,NULL,NULL,6526,4994
58341321,18106826,19211,1714,NULL,NULL,11628,5056
58341321,23028214,18397,3692,NULL,NULL,14585,10840
58341321,15031474,18500,1518,NULL,NULL,11729,5105
58341321,31690043,3200,791,NULL,NULL,2438,1889
58341321,20942775,5230,1126,NULL,NULL,4322,3364
58341321,90342,5230,1126,NULL,NULL,4163,3237
58341321,15031484,10045,1113,NULL,NULL,7534,5699
58341321,96838,8900,1077,NULL,NULL,5198,3937
58341321,96826,1857,547,NULL,NULL,1329,1042
58341321,102824,1670,464,NULL,NULL,1123,888
58341321,92677,9792,1024,NULL,NULL,7537,5799
20942770,23027716,1640,474,NULL,NULL,1592,1217
20942770,138394700,4538,871,NULL,NULL,3975,2989
20942770,23027762,9342,1139,NULL,NULL,6599,5024
20942770,58341321,1615,463,NULL,NULL,1150,862
20942770,23030486,433,133,NULL,NULL,209,147
20942770,23029410,1364,378,NULL,NULL,1253,978
20942770,10568627,13540,1496,NULL,NULL,9872,7477
20942770,15031548,8428,1135,NULL,NULL,5900,4497
20942770,18106826,18743,1802,NULL,NULL,11513,4952
20942770,23028214,17929,3780,NULL,NULL,13959,10343
20942770,15031474,18032,1606,NULL,NULL,11614,5001
20942770,31690043,1802,547,NULL,NULL,1812,1392
20942770,20942775,4195,888,NULL,NULL,3622,2793
20942770,90342,4195,888,NULL,NULL,3463,2666
20942770,15031484,9577,1201,NULL,NULL,6908,5202
20942770,96838,4881,988,NULL,NULL,4511,3381
20942770,96826,1263,356,NULL,NULL,1068,825
20942770,102824,721,192,NULL,NULL,673,508
20942770,92677,9324,1112,NULL,NULL,6911,5302
23027762,23027716,7850,802,NULL,NULL,5543,4244
23027762,138394700,16973,1289,NULL,NULL,10049,7678
23027762,20942770,9342,1165,NULL,NULL,6591,5037
23027762,58341321,9959,1136,NULL,NULL,7195,5504
23027762,23030486,9147,1129,NULL,NULL,6662,5092
23027762,23029410,8115,858,NULL,NULL,6529,4980
23027762,10568627,3905,628,NULL,NULL,3700,2738
23027762,15031548,2290,376,NULL,NULL,1246,987
23027762,18106826,21808,1703,NULL,NULL,14373,7063
23027762,23028214,8294,2913,NULL,NULL,7777,5603
23027762,15031474,21097,1507,NULL,NULL,14474,7112
23027762,31690043,5795,740,NULL,NULL,4779,3641
23027762,20942775,3676,709,NULL,NULL,3653,2827
23027762,90342,3676,709,NULL,NULL,3598,2774
23027762,15031484,919,222,NULL,NULL,749,575
23027762,96838,2706,528,NULL,NULL,2952,2225
23027762,96826,8290,956,NULL,NULL,6030,4596
23027762,102824,8861,1063,NULL,NULL,6271,4781
23027762,92677,783,188,NULL,NULL,595,456
138394700,23027716,10744,1012,NULL,NULL,5121,3884
138394700,23027762,16891,1277,NULL,NULL,10049,7635
138394700,20942770,4550,864,NULL,NULL,3975,2973
138394700,58341321,3430,650,NULL,NULL,3389,2553
138394700,23030486,4049,775,NULL,NULL,3941,2948
138394700,23029410,4476,882,NULL,NULL,4405,3362
138394700,10568627,21089,1634,NULL,NULL,13327,10084
138394700,15031548,15978,1272,NULL,NULL,9504,7213
138394700,18106826,26292,1940,NULL,NULL,15090,7653
138394700,23028214,25478,3918,NULL,NULL,17414,12950
138394700,15031474,25581,1744,NULL,NULL,15191,7702
138394700,31690043,5960,1168,NULL,NULL,5478,4154
138394700,20942775,7990,1503,NULL,NULL,6992,5335
138394700,90342,7990,1503,NULL,NULL,6833,5208
138394700,15031484,17126,1339,NULL,NULL,10512,7918
138394700,96838,15982,1302,NULL,NULL,7901,5939
138394700,96826,4737,957,NULL,NULL,4597,3492
138394700,102824,4430,841,NULL,NULL,4306,3230
138394700,92677,16873,1250,NULL,NULL,10515,8018
23027716,138394700,10703,1014,NULL,NULL,5136,3906
23027716,23027762,7849,777,NULL,NULL,5550,4233
23027716,20942770,1898,581,NULL,NULL,1607,1227
23027716,58341321,2475,672,NULL,NULL,1870,1443
23027716,23030486,2106,519,NULL,NULL,1411,1080
23027716,23029410,1074,247,NULL,NULL,1022,789
23027716,10568627,12047,1134,NULL,NULL,8823,6686
23027716,15031548,6935,773,NULL,NULL,4851,3704
23027716,18106826,17250,1440,NULL,NULL,9937,3751
23027716,23028214,16436,3418,NULL,NULL,12910,9552
23027716,15031474,16539,1244,NULL,NULL,10038,3800
23027716,31690043,997,237,NULL,NULL,921,713
23027716,20942775,3018,570,NULL,NULL,2805,2186
23027716,90342,3018,570,NULL,NULL,2646,2059
23027716,15031484,8084,839,NULL,NULL,5859,4409
23027716,96838,3809,671,NULL,NULL,3523,2649
23027716,96826,694,214,NULL,NULL,630,485
23027716,102824,1114,359,NULL,NULL,967,744
23027716,92677,7831,750,NULL,NULL,5862,4511
78696,87688,3115,823,3816,1539,2819,2186
78696,78692,2229,709,3029,1500,2605,1951
78696,87668,847,342,1478,515,852,643
78696,87804,6426,1254,7124,2031,6455,4828
78696,99804,1973,747,1218,480,1248,964
78696,87757,1421,538,1795,706,1287,943
78696,99803,4437,1181,4764,1658,3856,2918
78696,87681,6121,1449,5492,1523,4705,3568
78696,84058,NULL,NULL,NULL,NULL,NULL,NULL
78696,10558695,5301,1224,3856,1489,3425,2592
78696,78697,2546,612,3213,884,2277,1713
78696,10559356,2355,752,2146,1434,2146,1434
78696,83872,1577,560,1727,664,1227,894
78696,78698,5095,1286,5069,2149,4303,3216
78696,84057,2158,707,2545,1239,2108,1560
78696,78699,5386,1347,6202,1666,4584,3441
78696,78693,2212,706,2662,1342,2225,1662
78696,81747,3133,825,2611,1191,2176,1610
78696,78694,2735,836,3206,1321,2467,1825
78694,87688,3774,915,3894,1556,3114,2463
78694,78692,1497,491,1753,1329,1753,1329
78694,87668,1953,603,1944,999,1686,1315
78694,87804,5978,1179,7179,1934,5771,4306
78694,99804,2446,726,3904,1299,1827,1444
78694,87757,1652,514,2073,1101,1385,1044
78694,99803,5199,1530,5253,1396,4481,3431
78694,87681,3591,722,3313,1190,3001,2318
78694,84058,NULL,NULL,NULL,NULL,NULL,NULL
78694,10558695,3973,776,2811,1389,2040,1572
78694,78697,5029,1292,4931,1691,3687,2854
78694,10559356,2131,669,2614,1821,2614,1822
78694,83872,1754,504,2349,1176,1434,1091
78694,78698,7116,1646,6178,1846,5422,4074
78694,84057,1827,549,1318,1016,1318,1016
78694,78699,6823,1592,6283,1988,5511,4185
78694,78693,1480,488,1239,944,1239,944
78694,81747,3623,964,2969,1156,1922,1474
78694,78696,2753,841,2678,1233,2467,1920
81747,87688,6172,1457,5516,1701,4560,3583
81747,78692,1426,445,1313,1003,1313,1003
81747,87668,3134,849,2704,1099,1683,1328
81747,87804,9154,1854,9698,2804,7635,5734
81747,99804,3654,1134,3551,1147,2620,2059
81747,87757,2125,644,1956,747,1091,863
81747,99803,2709,823,3782,1278,2672,2028
81747,87681,6775,1462,6001,1958,4720,3654
81747,84058,NULL,NULL,NULL,NULL,NULL,NULL
81747,10558695,7966,1634,5705,2277,3904,3000
81747,78697,2656,785,3106,1003,2406,1851
81747,10559356,947,306,1500,986,1500,986
81747,83872,2633,817,2005,794,1103,878
81747,78698,4894,1179,4353,1403,3867,2889
81747,84057,1133,361,605,458,605,459
81747,78699,4601,1125,3895,1087,3702,2782
81747,78693,1409,442,933,714,933,714
81747,78694,3377,816,3026,1202,1923,1469
81747,78696,2786,678,2635,1077,2186,1680
78693,87688,4600,1370,4919,1612,4109,3233
78693,78692,188,52,515,387,515,387
78693,87668,1987,642,2100,1010,1731,1369
78693,87804,7373,1496,8264,2023,6950,5215
78693,99804,2587,771,2989,875,2335,1866
78693,87757,1058,291,1352,658,1139,904
78693,99803,3802,1059,3452,1393,3492,2683
78693,87681,4986,1039,5532,1649,3937,3079
78693,84058,NULL,NULL,NULL,NULL,NULL,NULL
78693,10558695,5368,1093,3877,1178,3219,2481
78693,78697,3513,806,4350,1539,3209,2448
78693,10559356,615,183,1905,1261,1905,1262
78693,83872,1566,454,1377,693,1151,919
78693,78698,5607,1168,5032,1419,4709,3529
78693,84057,419,138,329,268,329,268
78693,78699,5314,1114,4610,1640,4522,3437
78693,81747,1534,491,933,726,933,726
78693,78694,1582,447,1690,761,1238,950
78693,78696,2381,743,2624,1419,2269,1796
78699,87688,8572,1862,7880,1969,7206,5352
78699,78692,5055,954,6061,2021,4743,3590
78699,87668,5481,1257,5833,1941,4485,3199
78699,87804,11554,2268,12170,2653,10552,7754
78699,99804,6082,1394,6318,1833,5346,3884
78699,87757,4553,914,5078,1619,4192,2970
78699,99803,1709,429,1448,746,1270,970
78699,87681,10319,2195,8922,2009,8250,6029
78699,84058,NULL,NULL,NULL,NULL,NULL,NULL
78699,10558695,10429,2238,8834,3269,7289,5283
78699,78697,3332,716,2659,1036,2219,1526
78699,10559356,4340,1014,4544,3203,4368,2874
78699,83872,6262,1481,4781,1585,4132,2921
78699,78698,291,54,564,425,564,425
78699,84057,4762,870,3826,1046,4171,3144
78699,78693,5038,951,5183,2055,4500,3399
78699,81747,4556,980,3987,1262,3681,2742
78699,78694,6247,1435,6257,1883,5490,4154
78699,78696,5186,1092,6397,1961,4358,3146
84057,87688,4726,1411,5468,1654,4190,3293
84057,78692,283,80,709,545,709,544
84057,87668,2113,682,2656,1052,1614,1254
84057,87804,7621,1612,8155,2171,7031,5275
84057,99804,2713,811,3503,1100,2382,1891
84057,87757,1184,324,1908,700,1022,789
84057,99803,3254,897,3123,1125,3163,2415
84057,87681,5108,1134,5309,1722,4116,3195
84057,84058,NULL,NULL,NULL,NULL,NULL,NULL
84057,10558695,5401,1181,5142,1943,3300,2541
84057,78697,3085,666,3400,890,2946,2231
84057,10559356,187,42,1622,1007,1622,1007
84057,83872,1692,494,1957,747,1034,804
84057,78698,4844,1090,4757,1183,4433,3338
84057,78699,4551,1036,4281,1372,4193,3169
84057,78693,266,77,329,256,329,255
84057,81747,1105,350,605,458,605,458
84057,78694,1708,487,1319,1011,1319,1010
84057,78696,2507,789,2661,1431,2152,1681
78698,87688,8281,1806,8002,1999,7102,5463
78698,78692,4764,900,6077,2014,5049,3754
78698,87668,5190,1211,5849,1934,4381,3308
78698,87804,11263,2214,12244,2648,10448,7863
78698,99804,5791,1340,6334,1826,5242,3993
78698,87757,4262,860,5094,1612,4088,3079
78698,99803,2003,492,1922,1117,1714,1272
78698,87681,9098,1818,8837,1907,8146,6138
78698,84058,NULL,NULL,NULL,NULL,NULL,NULL
78698,10558695,9882,2001,8850,3262,7185,5392
78698,78697,3041,662,2325,1199,2115,1635
78698,10559356,4633,1076,4264,2983,4264,2983
78698,83872,5971,1427,4797,1578,4028,3030
78698,84057,4471,816,4762,1133,4432,3293
78698,78699,291,62,564,429,564,429
78698,78693,4747,897,5037,1357,4669,3465
78698,81747,4265,926,4461,1633,3827,2809
78698,78694,6189,1307,6172,1781,5369,4005
78698,78696,4895,1038,4320,1942,4254,3255
83872,87688,3692,1037,3665,982,3447,2697
83872,78692,1344,381,1617,495,1532,1173
83872,87668,658,268,604,468,604,468
83872,87804,7271,1518,8354,2035,6704,5034
83872,99804,1672,655,2177,766,1507,1174
83872,87757,536,210,50,42,50,42
83872,99803,4594,1177,3438,1007,3388,2609
83872,87681,5373,1171,4542,1438,4076,3113
83872,84058,NULL,NULL,NULL,NULL,NULL,NULL
83872,10558695,5298,1186,3986,1490,3115,2367
83872,78697,3218,798,2718,791,2337,1785
83872,10559356,1470,424,1457,920,1457,920
83872,78698,5036,1164,4743,1541,4087,3058
83872,84057,1273,379,1146,504,1035,782
83872,78699,5327,1225,5894,1695,4368,3283
83872,78693,1327,378,1740,592,1152,884
83872,81747,2388,732,1103,832,1103,832
83872,78694,1987,555,2190,1089,1415,1063
83872,78696,1052,375,1614,721,1226,959
10559356,87688,4923,1471,5747,2011,4913,3539
10559356,78692,480,139,2474,963,2285,1432
10559356,87668,2310,735,1950,1235,1950,1235
10559356,87804,7818,1671,9179,2822,8148,5812
10559356,99804,2910,870,3424,1301,2974,2015
10559356,87757,1381,383,1445,819,1445,819
10559356,99803,3068,855,4419,1452,3614,2501
10559356,87681,5305,1193,6237,2218,5378,3824
10559356,84058,NULL,NULL,NULL,NULL,NULL,NULL
10559356,10558695,5598,1240,5635,2217,4417,3078
10559356,78697,3244,716,3532,1110,2804,1840
10559356,83872,1889,553,1457,834,1457,834
10559356,78698,4658,1048,4889,1403,4304,2921
10559356,84057,187,55,1622,900,1622,901
