出发poiid,到达poiid,驾车距离,驾车时间,公交距离,公交时间,步行距离,步行时间
52075446,10524093,71253,4042,NULL,NULL,63017,46713
52075446,24591219,69114,4042,NULL,NULL,62148,46682
52075446,80473,69905,4169,NULL,NULL,62768,47105
52075446,10524119,74612,4108,NULL,NULL,64514,48253
52075446,28408248,45308,2450,NULL,NULL,40108,29578
52075446,75615,71574,4113,NULL,NULL,62714,46640
52075446,75624,41344,3015,NULL,NULL,28848,21327
52075446,75611,72432,4149,NULL,NULL,63513,47022
52075446,75627,70169,4219,NULL,NULL,62737,47022
52075446,13412802,48292,2836,NULL,NULL,39894,29359
28408248,86058,27656,1961,NULL,NULL,26451,20272
28408248,91002,32914,2080,NULL,NULL,29182,22497
28408248,76790,33487,2157,NULL,NULL,31103,24400
28408248,80719,18599,1393,NULL,NULL,19245,14280
28408248,55916162,41742,2333,NULL,NULL,39857,31165
28408248,81728,38507,2358,NULL,NULL,39439,30099
28408248,29950533,4450,726,NULL,NULL,1526,1096
28408248,10559194,55364,3642,NULL,NULL,51180,38119
28408248,76144,32743,1975,NULL,NULL,29232,22527
28408248,10524093,28966,1987,NULL,NULL,27674,21170
28408248,24591219,27599,1992,NULL,NULL,26825,20553
28408248,80473,28390,2119,NULL,NULL,27445,20976
28408248,10524119,33006,2059,NULL,NULL,29857,23156
28408248,52075446,45722,2398,NULL,NULL,40116,29602
28408248,75615,29287,2058,NULL,NULL,27775,21248
28408248,75624,13913,2206,NULL,NULL,13337,9858
28408248,75611,30145,2094,NULL,NULL,28170,21479
28408248,75627,28654,2169,NULL,NULL,27414,20893
28408248,13412802,3572,565,NULL,NULL,562,402
10524119,86058,4735,822,NULL,NULL,3540,3002
10524119,91002,1418,423,NULL,NULL,672,594
10524119,76790,2051,741,NULL,NULL,1408,1280
10524119,80719,16170,1850,NULL,NULL,11584,9498
10524119,55916162,19303,1566,NULL,NULL,10963,9132
10524119,81728,14968,1617,NULL,NULL,12512,10865
10524119,29950533,36387,2725,NULL,NULL,29385,22768
10524119,10559194,34598,3012,NULL,NULL,33190,26206
10524119,76144,1951,521,NULL,NULL,836,757
10524119,10524093,3322,869,NULL,NULL,2377,1936
10524119,24591219,5167,960,NULL,NULL,3599,3048
10524119,80473,6013,1148,NULL,NULL,3129,2580
10524119,28408248,33940,2337,NULL,NULL,29855,23096
10524119,52075446,74582,4271,NULL,NULL,64320,48322
10524119,75615,3360,867,NULL,NULL,2510,2038
10524119,75624,45129,4034,NULL,NULL,38091,29120
10524119,75611,3488,748,NULL,NULL,1665,1371
10524119,75627,5702,1089,NULL,NULL,2807,2351
10524119,13412802,35248,2606,NULL,NULL,29369,22741
80473,86058,1974,365,NULL,NULL,1159,946
80473,91002,5039,790,NULL,NULL,3639,3020
80473,76790,7459,990,NULL,NULL,4375,3852
80473,80719,9846,1712,NULL,NULL,9172,7365
80473,55916162,22029,1887,NULL,NULL,14006,11735
80473,81728,17874,1715,NULL,NULL,15761,13482
80473,29950533,31020,2391,NULL,NULL,26973,20635
80473,10559194,37504,3110,NULL,NULL,36255,28580
80473,76144,4868,631,NULL,NULL,3803,3183
80473,10524093,5024,786,NULL,NULL,3310,2608
80473,24591219,1534,399,NULL,NULL,1265,998
80473,10524119,5131,781,NULL,NULL,3129,2608
80473,28408248,27852,2030,NULL,NULL,27443,20963
80473,52075446,68958,3986,NULL,NULL,62769,47139
80473,75615,5345,857,NULL,NULL,3411,2686
80473,75624,44626,3685,NULL,NULL,36544,27925
80473,75611,4552,715,NULL,NULL,1783,1408
80473,75627,482,119,NULL,NULL,448,337
80473,13412802,29086,2271,NULL,NULL,26957,20608
24591219,86058,593,140,NULL,NULL,527,424
24591219,91002,5322,817,NULL,NULL,4109,3470
24591219,76790,7742,1014,NULL,NULL,4845,4302
24591219,80719,10374,1501,NULL,NULL,8552,6909
24591219,55916162,22312,1911,NULL,NULL,14476,12185
24591219,81728,18157,1739,NULL,NULL,15840,13057
24591219,29950533,30445,2269,NULL,NULL,26353,20179
24591219,10559194,37787,3134,NULL,NULL,35793,27842
24591219,76144,5151,655,NULL,NULL,3759,2801
24591219,10524093,3856,586,NULL,NULL,2715,1747
24591219,80473,1675,398,NULL,NULL,1264,987
24591219,10524119,5414,805,NULL,NULL,3599,3058
24591219,28408248,29268,2081,NULL,NULL,26823,20507
24591219,52075446,68383,3864,NULL,NULL,62149,46683
24591219,75615,4177,657,NULL,NULL,2816,1825
24591219,75624,44051,3563,NULL,NULL,35924,27469
24591219,75611,4835,739,NULL,NULL,2253,1858
24591219,75627,1434,375,NULL,NULL,1025,823
24591219,13412802,28511,2149,NULL,NULL,26337,20152
10524093,86058,3156,565,NULL,NULL,2912,1988
10524093,91002,2470,630,NULL,NULL,2009,1632
10524093,76790,5219,813,NULL,NULL,3647,3052
10524093,80719,10830,1561,NULL,NULL,9914,7574
10524093,55916162,19789,1710,NULL,NULL,12905,10522
10524093,81728,15634,1538,NULL,NULL,14059,11935
10524093,29950533,32840,2537,NULL,NULL,27905,21092
10524093,10559194,35264,2933,NULL,NULL,33824,26709
10524093,76144,2292,565,NULL,NULL,2059,1662
10524093,24591219,3098,580,NULL,NULL,2715,1665
10524093,80473,4579,712,NULL,NULL,3310,2601
10524093,10524119,2562,622,NULL,NULL,2355,1958
10524093,28408248,29725,2140,NULL,NULL,27671,21148
10524093,52075446,70778,4132,NULL,NULL,62728,46795
10524093,75615,322,71,NULL,NULL,184,138
10524093,75624,46446,3831,NULL,NULL,36499,27593
10524093,75611,1621,298,NULL,NULL,1606,1191
10524093,75627,4842,762,NULL,NULL,2988,2372
10524093,13412802,30906,2417,NULL,NULL,27889,21065
76144,86058,5009,589,NULL,NULL,4214,3561
76144,91002,1293,290,NULL,NULL,210,216
76144,76790,2853,448,NULL,NULL,2012,1717
76144,80719,14475,1398,NULL,NULL,11644,9101
76144,55916162,13091,1420,NULL,NULL,11200,9328
76144,81728,12811,1217,NULL,NULL,12468,10785
76144,29950533,34692,2273,NULL,NULL,29635,22619
76144,10559194,32904,2572,NULL,NULL,32707,25827
76144,10524093,3614,676,NULL,NULL,2058,1652
76144,24591219,5441,693,NULL,NULL,3756,2693
76144,80473,6287,881,NULL,NULL,3803,3139
76144,10524119,1444,400,NULL,NULL,836,754
76144,28408248,32245,1885,NULL,NULL,29437,22461
76144,52075446,72914,3908,NULL,NULL,63892,47923
76144,75615,3652,674,NULL,NULL,2191,1754
76144,75624,43434,3582,NULL,NULL,37663,28721
76144,75611,3737,523,NULL,NULL,2089,1762
76144,75627,5976,822,NULL,NULL,3481,2910
76144,13412802,33553,2154,NULL,NULL,29619,22592
10559194,86058,36739,3068,NULL,NULL,36000,28030
10559194,91002,34195,2930,NULL,NULL,32869,25869
